2025-02-02 03:30:38 - Debugger session started.
2025-02-02 03:30:38 - Midi Index: -0 | Note Name: C-1
2025-02-02 03:30:38 - Midi Index: 4 | Note Name: E-1
2025-02-02 03:30:38 - Midi Index: 7 | Note Name: G-1
2025-02-02 03:30:38 - Midi Index: 11 | Note Name: B-1
2025-02-02 03:30:38 - Midi Index: 5 | Note Name: F-1
2025-02-02 03:30:38 - Midi Index: 9 | Note Name: A-1
2025-02-02 03:30:38 - Midi Index: 12 | Note Name: C0
2025-02-02 03:30:38 - Midi Index: 16 | Note Name: E0
2025-02-02 03:30:38 - Midi Index: 5 | Note Name: F-1
2025-02-02 03:30:38 - Midi Index: 9 | Note Name: A-1
2025-02-02 03:30:38 - Midi Index: 14 | Note Name: D0
2025-02-02 03:30:38 - Midi Index: 4 | Note Name: E-1
2025-02-02 03:30:38 - Midi Index: 8 | Note Name: G#/Ab-1
2025-02-02 03:30:38 - Midi Index: 11 | Note Name: B-1
2025-02-02 03:30:38 - Midi Index: 14 | Note Name: D0
2025-02-02 03:30:38 - Midi Index: 4 | Note Name: E-1
2025-02-02 03:30:38 - Midi Index: 9 | Note Name: A-1
2025-02-02 03:30:38 - Midi Index: 12 | Note Name: C0
2025-02-02 03:30:38 - Midi Index: 7 | Note Name: G-1
2025-02-02 03:30:38 - Midi Index: 11 | Note Name: B-1
2025-02-02 03:30:38 - Midi Index: 14 | Note Name: D0
2025-02-02 03:30:38 - Midi Index: -0 | Note Name: C-1
2025-02-02 03:30:38 - Midi Index: 4 | Note Name: E-1
2025-02-02 03:30:38 - Midi Index: 7 | Note Name: G-1
2025-02-02 03:30:38 - Midi Index: 11 | Note Name: B-1
2025-02-02 03:30:38 - Midi Index: 16 | Note Name: E0
